172.64.52.147:443#日本 东京成田 (NRT) L:89ms S:10.8MB/s
172.64.148.57:443#新加坡 新加坡 (SIN) L:151ms S:8.3MB/s
198.41.223.20:443#新加坡 新加坡 (SIN) L:122ms S:5.8MB/s
162.159.46.46:443#新加坡 新加坡 (SIN) L:155ms S:5.8MB/s
172.64.145.251:443#新加坡 新加坡 (SIN) L:152ms S:5.2MB/s
172.64.151.196:443#新加坡 新加坡 (SIN) L:132ms S:4.6MB/s
104.18.35.189:443#新加坡 新加坡 (SIN) L:139ms S:4.3MB/s
162.159.13.164:443#新加坡 新加坡 (SIN) L:132ms S:4.3MB/s
162.159.7.84:443#新加坡 新加坡 (SIN) L:128ms S:3.9MB/s
172.64.40.197:443#新加坡 新加坡 (SIN) L:130ms S:3.4MB/s
172.64.35.53:443#新加坡 新加坡 (SIN) L:128ms S:3.3MB/s
104.18.46.77:443#新加坡 新加坡 (SIN) L:117ms S:3.2MB/s
108.162.195.75:443#新加坡 新加坡 (SIN) L:165ms S:3.1MB/s
